id,date,description,amount,currency,merchant,category,city,country
cc3a2d93-e35d-4a33-95a1-666f090ae84b,2025-06-28,Tesco Lake Henrybury,-223.76,EUR,Tesco,Groceries,Lake Henrybury,Czech Republic
897ca111-16f6-474e-872f-1853ed214300,2024-12-27,Zara Lake Janiceland,-222.26,USD,Zara,Shopping,Lake Janiceland,Nauru
46dab0e6-ab75-44ec-bb57-a40f6ddb34c3,2025-04-09,Salary ACME Ltd North Charliebury,179.2,EUR,Salary ACME Ltd,Income,North Charliebury,Madagascar
859239d3-0622-4b32-b99a-05f90a1f9bd1,2025-06-14,McDonald's Lake Francesca,-69.5,USD,McDonald's,Food,Lake Francesca,Reunion
004d96b6-0239-458a-a882-056949c77a27,2025-05-24,PayPal South Joan,-170.57,USD,PayPal,Other,South Joan,Fiji
89e9b21e-1361-45c0-8026-d94990b77b96,2025-08-29,Freelance Payment Port Samchester,70.03,USD,Freelance Payment,Income,Port Samchester,Guam
dd006a11-8075-4335-9a64-1af25ef67424,2025-02-15,Netflix Port Tom,-228.85,EUR,Netflix,Entertainment,Port Tom,Bosnia and Herzegovina
77c3e94b-04bd-4778-a612-4d665d714725,2024-12-09,PureGym West Leighview,-86.97,EUR,PureGym,Health,West Leighview,Sri Lanka
72ea4f23-f864-44ac-b3ce-fc7027d200d8,2024-11-21,British Gas Wilkinsonfurt,-32.36,EUR,British Gas,Utilities,Wilkinsonfurt,Belgium
c6fe3479-a909-491d-86e8-c65e8a6c1bc5,2025-05-27,EE Mobile Melissaborough,-183.1,EUR,EE Mobile,Utilities,Melissaborough,Romania
ccc029c5-28d0-4c97-b23f-766f92026cb3,2024-12-01,Ryanair Port Gregory,-292.07,GBP,Ryanair,Travel,Port Gregory,Belgium
631de816-57f1-40e5-bae3-ef94a657394b,2025-09-15,Waitrose South Rickymouth,-91.49,USD,Waitrose,Groceries,South Rickymouth,North Macedonia
fbf41eff-da61-45c5-b976-858105669cde,2025-09-07,TransferWise West Owen,-175.32,USD,TransferWise,Other,West Owen,Cote d'Ivoire
c4d73d76-4157-4a5e-bfe6-eb31abf09dd4,2025-07-09,Tesco New Heatherburgh,-200.07,GBP,Tesco,Groceries,New Heatherburgh,Martinique
00eeb2ca-af61-41ba-b14d-11ef41f7ac82,2025-07-30,Sainsbury's South Jessica,-260.61,GBP,Sainsbury's,Groceries,South Jessica,Faroe Islands
3194d8a3-25fa-489b-8f43-251c342ff70d,2025-11-03,PlayStation Store Lake Victor,-192.53,GBP,PlayStation Store,Entertainment,Lake Victor,Tajikistan
f653c241-3957-4d74-91a5-47df1690c0c7,2025-08-14,Shell East Ryanmouth,-109.8,USD,Shell,Transport,East Ryanmouth,Iran
d9def8b3-ac19-4fdd-aa7d-b1958a87a3bc,2025-02-11,Netflix New Guy,-184.69,EUR,Netflix,Entertainment,New Guy,Croatia
bebfb2bd-d6c0-4ed4-a37a-e5e9ac3440a0,2025-07-03,Tax Refund Youngmouth,77.22,GBP,Tax Refund,Income,Youngmouth,Cambodia
36afd663-faa1-4ebb-a281-055c35986b76,2025-02-10,PureGym Lake Chelsea,-296.91,USD,PureGym,Health,Lake Chelsea,Mauritania
200907fa-3e22-4dea-9d7b-e04a066ab19b,2025-02-10,Salary ACME Ltd Bartlettfurt,206.96,EUR,Salary ACME Ltd,Income,Bartlettfurt,Guyana
8c25c8e3-ea9e-42ae-858f-6a0402129fb2,2025-01-25,Amazon New Valerie,-242.49,GBP,Amazon,Shopping,New Valerie,Bermuda
2ad68e87-6abd-451a-96f5-4072a79e27a4,2025-08-09,Netflix East Teresaburgh,-67.24,USD,Netflix,Entertainment,East Teresaburgh,Somalia
9eeb5def-eabd-4240-a702-5814ca6c7926,2025-07-13,Thames Water South Margaretmouth,-198.35,GBP,Thames Water,Utilities,South Margaretmouth,Marshall Islands
15812f13-0305-4059-bb13-398693ee5607,2025-02-06,Booking.com Lake Geoffreyside,-83.14,EUR,Booking.com,Travel,Lake Geoffreyside,Sao Tome and Principe
4926c97b-7b90-401b-b9dc-7bdb03f5ba36,2025-02-11,Tax Refund Nathanport,82.51,USD,Tax Refund,Income,Nathanport,Jordan
f2c0e9d8-9ede-4d8b-bf94-41528165e234,2025-01-02,Vision Express Lake Marcushaven,-111.79,EUR,Vision Express,Health,Lake Marcushaven,Serbia
113918c3-f086-4aca-b0d6-0db109979d79,2025-01-10,Freelance Payment Port Kayleighport,31.82,EUR,Freelance Payment,Income,Port Kayleighport,Tajikistan
73bcac65-7044-4e74-a487-684fad8aafbe,2025-06-27,Sainsbury's East Karen,-190.1,USD,Sainsbury's,Groceries,East Karen,Serbia
3917315b-a480-4e58-8673-17682f4fd761,2025-01-04,Boots Pharmacy New Brandonfort,-118.51,USD,Boots Pharmacy,Health,New Brandonfort,Andorra
0fc5c2f5-c9fb-4f67-bdb3-1f0881710080,2024-12-16,Airbnb Mohammadbury,-291.47,EUR,Airbnb,Travel,Mohammadbury,Azerbaijan
c39c37fb-7410-47d3-a303-e31bdc8fbf7c,2025-02-02,Waitrose North Danielleland,-226.51,USD,Waitrose,Groceries,North Danielleland,Senegal
70f5b170-315c-44dd-99c0-5717ad6c98da,2025-05-19,British Gas East Katy,-91.58,EUR,British Gas,Utilities,East Katy,Lebanon
41b85209-3fca-44ae-b952-e4c60725438d,2025-10-18,Ryanair West Debra,-286.38,USD,Ryanair,Travel,West Debra,Tunisia
419bf7b8-dc3c-4dfc-9c62-921a9329f339,2025-06-16,Spotify New Hollie,-154.77,EUR,Spotify,Entertainment,New Hollie,Cook Islands
d42ec819-6e06-4fc6-a50f-d08efea9f64c,2025-07-24,Spotify Turnerstad,-50.09,EUR,Spotify,Entertainment,Turnerstad,Kazakhstan
dd0d77fe-f1e4-44c8-8e90-5278d1423dfa,2025-10-01,Tax Refund O'Neillbury,275.96,USD,Tax Refund,Income,O'Neillbury,Bahrain
fec6a694-6aaa-4381-9527-8709263cf3b5,2025-03-09,Octopus Energy New Gerald,-10.75,GBP,Octopus Energy,Utilities,New Gerald,Albania
d2976c4d-510c-4085-be45-5611bfb8ad41,2024-12-01,Spotify East Josephton,-22.09,USD,Spotify,Entertainment,East Josephton,Tokelau
0c96bfce-9f8d-4b38-bca7-fb2c76dde78a,2025-03-06,Tesco West Aimee,-220.91,EUR,Tesco,Groceries,West Aimee,Libyan Arab Jamahiriya
ae184f2d-0881-4ae8-8e8d-35489960e47e,2025-01-23,Salary ACME Ltd Lake Alexandra,42.88,GBP,Salary ACME Ltd,Income,Lake Alexandra,Morocco
b9d8a907-0bb3-478c-ac28-7dda5c627c7b,2025-04-27,Salary ACME Ltd Mannborough,83.19,USD,Salary ACME Ltd,Income,Mannborough,Bhutan
bbce53dc-707a-4232-989c-13562fc1dbd2,2024-12-11,NHS Prescription Nixonchester,-279.03,USD,NHS Prescription,Health,Nixonchester,Lao People's Democratic Republic
73087132-0b6a-4fab-9ff5-f80f2ffc76f7,2025-09-18,H&M Lake Hilaryville,-122.7,USD,H&M,Shopping,Lake Hilaryville,Bahamas
12725667-c09d-4199-b551-8f0f51072912,2025-04-02,Octopus Energy Raymondbury,-270.39,GBP,Octopus Energy,Utilities,Raymondbury,Congo
e03ceaf6-f968-4a16-b8eb-e7680b580577,2025-01-14,Sainsbury's Davidsonburgh,-71.29,GBP,Sainsbury's,Groceries,Davidsonburgh,Fiji
8517ce99-c611-4095-85b5-5da48bc8c0af,2025-04-24,Just Eat South Georginaville,-168.41,USD,Just Eat,Food,South Georginaville,Australia
7da20e75-0ded-49cb-a59f-d61d2ee1f626,2025-07-02,Amazon North Frankburgh,-25.94,USD,Amazon,Shopping,North Frankburgh,Ireland
b3ab1b0d-a568-4395-9f2e-c73a555c9598,2025-05-02,Subway Port Joanne,-24.88,EUR,Subway,Food,Port Joanne,United Kingdom
fd202f0d-148f-4f09-957f-507de6c471b8,2024-11-27,British Gas Metcalfefurt,-156.68,GBP,British Gas,Utilities,Metcalfefurt,Estonia
89141da4-6d9d-43ad-b9e0-b118cd90427f,2025-10-11,Booking.com Hussainside,-164.07,USD,Booking.com,Travel,Hussainside,Panama
a0e547dc-2014-4d51-a1c5-ae6d846c368a,2025-07-26,Bank Fee East Bryan,-144.44,GBP,Bank Fee,Other,East Bryan,Cuba
0ffd2da2-a9f7-4b82-a5c3-cef21c5ad57c,2025-10-26,NHS Prescription Lake Terryton,-32.83,USD,NHS Prescription,Health,Lake Terryton,Australia
9d3f9ea4-c47f-4cd5-9ddf-fd6538a4490b,2025-06-07,PureGym North Natasha,-129.96,GBP,PureGym,Health,North Natasha,Belgium
fd54f08c-cc8b-4114-8a79-33b591a876a1,2025-09-13,McDonald's New Josephbury,-22.88,USD,McDonald's,Food,New Josephbury,Iraq
25e4fd63-9920-4d93-b8f8-aaf9a81675ae,2024-12-19,British Gas New Marilyn,-78.35,EUR,British Gas,Utilities,New Marilyn,Armenia
3a7394eb-d8df-4c80-b658-d8b568b10b60,2025-06-20,Freelance Payment Mossshire,46.35,EUR,Freelance Payment,Income,Mossshire,Mali
69a6e537-267e-423a-82f4-06287078ca0a,2025-03-01,PlayStation Store Dennismouth,-78.69,EUR,PlayStation Store,Entertainment,Dennismouth,Dominican Republic
134ce475-5c6b-4987-b3de-399a32dfe9d6,2025-02-11,Ryanair Lake Leah,-19.92,USD,Ryanair,Travel,Lake Leah,French Southern Territories
62622d79-c108-4bb7-8c59-c43ed8a9d6bc,2025-04-22,McDonald's North Clareshire,-278.28,EUR,McDonald's,Food,North Clareshire,Bolivia
f104fd75-0e05-4430-baf2-124bc81f609b,2024-12-02,BP Petrol New Arthur,-148.26,EUR,BP Petrol,Transport,New Arthur,Bulgaria
5ada4ebc-963a-4d52-b4e9-cd58d4af5d68,2025-10-13,Boots Pharmacy East Laurenport,-53.57,EUR,Boots Pharmacy,Health,East Laurenport,Cayman Islands
